indicator,IC_trending,n_trending,ICIR_trending,IC_ranging,n_ranging,ICIR_ranging,IC_high_vol,n_high_vol,ICIR_high_vol,IC_low_vol,n_low_vol,ICIR_low_vol
GapSize,0.01604884229458667,98477,0.19569527304616502,0.014910919218855633,78123,0.07750458696149906,0.024353258641236733,97145,0.13968552584088156,0.006031297708765073,97200,0.1321542760907083
Momentum_10,0.015861092443618274,98477,0.7513800621406679,-0.0004683001841498556,78123,0.21509167059642315,0.003676424565845167,97145,0.7247072889465038,0.02113400759480244,97200,0.833446590751938
WeeklyRSI_14,0.015588787366869734,98477,1.278246257072212,0.015008186984031969,78123,1.1797876489004524,0.0210968709280057,97145,1.2328331567095432,0.013140184922455942,97200,1.357016035523586
VWAP_dev,0.015202029271688849,98475,0.8153392787620789,-0.00940997953237932,78122,0.31774369816571685,-0.004162909395928407,97142,0.9429651290325677,0.017355105668032084,97200,0.8341097148061726
ConnorsRSI,0.013043191931249247,98449,0.6069659473091182,0.015199613959623846,78122,0.2410157774288129,0.005260006938969192,97116,0.6738998123698497,0.022700034074387018,97199,0.7206089679369729
VWAPBands,0.015096315811772875,93604,0.6469746805125847,-0.007384248167715936,75730,0.24591530907059064,-0.004043821646979499,93302,0.7901630588288309,0.016147542712580357,93122,0.7167845911274553
UpperShadow_5,-0.006283727514258378,98477,0.023085376589720576,-0.013518290261310033,78123,-0.05470916155256913,-0.009062218248997571,97145,0.0004607538360628037,-0.01379728826744999,97200,0.0288651983264774
ATR_14,0.0015856841727742324,98477,0.03064594104258031,-0.012509506304522114,78123,-0.031989407109460695,-0.006033424972372582,97145,0.049713151042606867,-0.0006443141323879302,97200,-0.005090269699578744
CandleBody_5,-0.0030951684289699946,98477,0.006252024908868156,0.011723652108933651,78123,0.021757580364100866,0.006609142169854667,97145,0.027720194396802636,0.0050015840601414525,97200,-0.016014924144304606
OBV_20,-0.011109086738752189,98477,-0.7190257632893604,0.010869963944114798,78123,-0.28564289342704474,0.0028042992698080445,97145,-0.6517272852262523,-0.011926597111829767,97200,-0.6073121024810654
